# Wordlist

# DATA
ID	DOCULECT	GLOSS_IN_SOURCE	CONCEPT	IPA	TOKENS	NOTE	BORROWING	CHINESE	COGID	RGEN	HANZI	SOURCE	ENTRY_IN_SOURCE	COGNACY
#
5054	TibetanOldTibetan	I	I [first person singular]	ŋa	ŋ a			我	327		吾		ŋa	327
5067	KirantiKhaling	I	I [first person singular]	ʔûŋ	ʔ u ŋ			我	29761		吾		ʔu^ŋ	29761
5068	KirantiLimbu	I	I [first person singular]	iŋga	i ŋ g a			我	29722		吾		iŋga	29722
5083	rGyalrongJaphug	I	I [first person singular]	aʑo	a ʑ o			我	327		吾		aʑo	327
5087	Tangut	I	I [first person singular]	ŋa²	ŋ a ²			我	327		吾		ŋa²	327
16954	JingphoJingpho	I	I [first person singular]	ŋai³³	ŋ a i ³³				327	392734		STEDT/TBL	ŋai³³	327
17100	DengYidu	I	I [first person singular]	ŋɑ³⁵	ŋ ɑ ³⁵				327	392740		STEDT/TBL	ŋɑ³⁵	327
17115	BodicTshangla	I	I [first person singular]	dʑaŋ	dʑ a ŋ				10390	392722		STEDT/TBL	dʑaŋ	10390
17972	rGyalrongMaerkang	I	I [first person singular]	ŋɑ	ŋ ɑ				327	392726		STEDT/TBL	ŋɑ	327
19223	rGyalrongDaofu	I	I [first person singular]	ŋa	ŋ a				327	392727		STEDT/TBL	ŋa	327
19683	NungicDulong	I	I [first person singular]	ŋɑ⁵³	ŋ ɑ ⁵³				327	392735		STEDT/TBL	ŋɑ⁵³	327
19921	TibetanBatang	I	I [first person singular]	ŋa²³¹	ŋ a ²³¹				327	392718		STEDT/TBL	ŋa²³¹	327
21719	QiangicZhaba	I	I [first person singular]	ŋa¹³	ŋ a ¹³				327	392729		STEDT/TBL	ŋa¹³	327
22525	TibetanXiahe	I	I [first person singular]	ŋa	ŋ a				327	392719		STEDT/TBL	ŋa	327
23725	TaniBokar	I	I [first person singular]	ŋoː	ŋ oː				327	392739		STEDT/TBL	ŋoː	327
23977	DengDarangTaraon	I	I [first person singular]	xɑŋ³⁵	x ɑ ŋ ³⁵				10387	392737		STEDT/TBL	xɑŋ³⁵	10387
24331	LoloishLisu	I	I [first person singular]	ŋuɑ³³	ŋ u ɑ ³³				327	392755		STEDT/TBL	ŋuɑ³³	327
24581	TibetanLhasa	I	I [first person singular]	ŋa¹³	ŋ a ¹³				327	392717		STEDT/TBL	ŋa¹³	327
24693	TibetanAlike	I	I [first person singular]	ŋæ	ŋ æ				327	392720		STEDT/TBL	ŋæ	327
30885	SiniticOldChinese		I [first person singular]	ŋˤa	ŋˤ a			我	327		吾	SagartMa2016	*ŋˤa	327
31082	BurmishOldBurmese		I [first person singular]	ṅā	? ā				327			Hill2016		327
31651	KhroskyabsWobzi		I [first person singular]	ŋô	ŋ ô				327			Lai2016		327
31913	ChepangChepang	I	I [first person singular]	ʔa	ʔ a				3835	478779		Caughley2000		3835
31914	ChepangChepang	I	I [first person singular]	ŋa	ŋ a				327	480761		Caughley2000		327
32168	GaroGaro	I (pro)	I [first person singular]	aŋ-a	a ŋ a				10388	465237		Burling2003		10388
32394	KirantiThulung		I [first person singular]	go	g o				799					799
32746	ChinHakha	I (pron.)	I [first person singular]	keimah	k à/a y/i + m a ʔ				29721			VanBik2014		29721
32978	TibetoKinauriBunan	I	I [first person singular]	gi	g i				799			Widmer2014		799
33178	TibetoKinauriByangsi	1sg, I, me	I [first person singular]	je	j/dʒ e				799	541874		Sharma2003		799
33630	KirantiKulung	I (pron.)	I [first person singular]	kɔN	k ɔ ŋ	Nepali: ma. (Tolsma1999)			29760			Tolsma1999		29760
33951	KirantiBantawa		I [first person singular]	ɨŋka	ɨ ŋ k a				29722			Jongens2009:94		29722
34933	BurmishRangoon	I	I [first person singular]	ŋɑ²²	ŋ ɑ ²²				327			Huang1992		327
34997	BurmishAtsi	I	I [first person singular]	ŋo⁵¹	ŋ o ⁵¹				327			Huang1992		327
35074	BurmishMaru	I	I [first person singular]	ŋɔ³¹	ŋ ɔ ³¹				327			Huang1992		327
35140	BurmishLashi	I	I [first person singular]	ŋo³¹	ŋ o ³¹				327			Huang1992		327
35186	BurmishXiandao	I	I [first person singular]	ŋɔ⁵⁵	ŋ ɔ ⁵⁵				327			Huang1992		327
35239	BurmishBola	I	I [first person singular]	ŋa⁵⁵	ŋ a ⁵⁵				327			Huang1992		327
35419	BurmishAchang	I	I [first person singular]	ŋɔ⁵⁵	ŋ ɔ ⁵⁵				327			Huang1992		327
35711	KirantiBahing	I (pron)	I [first person singular]	gu	g u				799	121975				799
35900	MizoLushai	I	I [first person singular]	ka	k a	Lushai also has kei 'I', kei-ma 'I'			29721	253784				29721
36176	SiniticBeijing	I (first person singular)	I [first person singular]	wɔ²¹⁴	w ɔ ²¹⁴			我	327		我	BeijingDaxue1964		327
36177	SiniticGuangzhou	I (first person singular)	I [first person singular]	ŋɔ²³	ŋ ɔ ²³	should have *-i.LS	< MC	我	327		我	BeijingDaxue1964		29775
36178	SiniticChaozhou		I [first person singular]	ua⁵³	u a ⁵³				327		我			327
36179	SiniticLonggang		I [first person singular]	ŋai²¹	ŋ a i ²¹				327		囗			327
36180	SiniticJieyang		I [first person singular]	ua³¹	u a ³¹				327		我			327
36181	SiniticXingning		I [first person singular]	ŋai²⁴	ŋ a i ²⁴				327		囗			327
37553	NagaUkhrul	1sg, I, me	I [first person singular]	ʔi	ʔ i				2029	526744				2029
37758	KirantiHayu	my, me (pron po)	I [first person singular]	aŋ	a ŋ				10388	120105				10388
37759	KirantiHayu	I, me, we, us (pron (1)	I [first person singular]	gu	g u				799	120407				799
38041	Tangut		I [first person singular]	mjo	m j o				105		我			105
38357	Karbi		I [first person singular]	ne	n e	from :cite:Walker1925<br>page in :cite:Walker1925 307			10389			Walker1925, Konnerth2014	ne	10389
38596	Rabha	I	I [first person singular]	aŋ	a ŋ				10388			Joseph2007		10388
#
549	TibetanOldTibetan	big	big	tɕʰe-	tɕʰ e			大	412		大		tɕʰe-	412
562	KirantiKhaling	big	big	ghoɔ̄lpɛ	gʰ oɔ̄ l p ɛ			大	416		大		ghoɔ̄lpɛ	416
563	KirantiLimbu	big	big	yɔmba	j ɔ m b a			大	417		大		yɔmba	417
578	rGyalrongJaphug	big	big	wxti	w x t i			大	29701		大		wxti	29701
17148	BodicTshangla	big / large	big	tɕhi lo	? i _ l o		tib[tɕʰe]		412	394643		STEDT/TBL	tɕhi lo	29776
17996	rGyalrongMaerkang	big / large	big	kə ktᴇ	k ə _ k t ?				29701	394647		STEDT/TBL	kə ktᴇ	29701
18334	TibetanLhasa	big / large	big	tɕhẽ⁵⁵po⁵⁵	tɕʰ ẽ ∼ ⁵⁵ + p o ⁵⁵				412	394638		STEDT/TBL	tɕhẽ⁵⁵po⁵⁵	412
19258	rGyalrongDaofu	big / large	big	gɛ cçhɛ	g ɛ + cçʰ ɛ				1349	394648		STEDT/TBL	gɛ cçhɛ	1349
19713	NungicDulong	big / large	big	tɑi⁵³	t ɑ i ⁵³				29701	394656		STEDT/TBL	tɑi⁵³	29701
19952	TibetanBatang	big / large	big	tɕhɪ⁵³	tɕʰ ɪ ⁵³				412	394639		STEDT/TBL	tɕhɪ⁵³	412
19953	TibetanBatang	big / large	big	tɕhɑu¹³	tɕʰ ɑ u ¹³				412	394687		STEDT/TBL	tɕhɑu¹³	412
21751	QiangicZhaba	big / large	big	tɕi⁵⁵tɕi⁵⁵	tɕ i ⁵⁵ + tɕ i ⁵⁵				29701	394650		STEDT/TBL	tɕi⁵⁵tɕi⁵⁵	29701
21852	DengDarangTaraon	big / large	big	dɯ³¹ɹɯŋ⁵⁵	d ɯ ³¹ + ɹ ɯ ŋ ⁵⁵				2310	394658		STEDT/TBL	dɯ³¹ɹɯŋ⁵⁵	2310
23669	LoloishLisu	big / large	big	vu³¹	v u ³¹				3207	394676		STEDT/TBL	vu³¹	3207
23763	TaniBokar	big / large	big	təː pə	t əː + p ə				2723	394660		STEDT/TBL	təː pə	2723
23860	TibetanXiahe	big / large	big	tɕhe wo	? e _ w o				412	394640		STEDT/TBL	tɕhe wo	412
24718	TibetanAlike	big / large	big	tɕhe	? e				412	394641		STEDT/TBL	tɕhe	412
25035	DengYidu	big / large	big	kɑ⁵⁵tɕhi⁵⁵	k ɑ ⁵⁵ + ? i ⁵⁵		tib[tɕʰe]		10321	394661		STEDT/TBL	kɑ⁵⁵tɕhi⁵⁵	29777
25122	JingphoJingpho	big / large	big	kă³¹pa³¹	k ă ³¹ + p a ³¹				2998	394655		STEDT/TBL	kă³¹pa³¹	2998
30768	SiniticOldChinese		big	lˤat←s	lˤ a t + s			大	1627		大	SagartMa2016	*lˤa[t]-s	1627
31059	BurmishOldBurmese		big	krīḥ	k r ī ?				909			Hill2016		909
31562	KhroskyabsWobzi		big	qʰrɑ́	qʰ r ɑ́				3734			Lai2016		3734
31816	ChepangChepang	big (esp. in height, length), large	big	braw-	b r a w				3795	484489		Caughley2000		3795
32079	GaroGaro	big; large (vi)	big	dal•-a	d a l ʔ + a				3918	465835		Burling2003		3918
32399	KirantiThulung		big	ɖokpu	ɖ o k p u				4052					4052
32652	ChinHakha	big (adj.)	big	lian , ngan	l i a n				1465			VanBik2014		1465
33130	TibetoKinauriBunan	big, honest	big	tedzi	t e dz i	Comment (by :cite:Widmer2014): «PTB *tay / Rongpo te 'viel, sehr viel' (Zoller 1983) /»			29701			Widmer2014		29701
33183	TibetoKinauriByangsi	big	big	poda	p o d a				331	542222		Sharma2003		331
33403	TibetoKinauriRongpo	big	big	bəRa	b ə ɽ a		IA बढा		464	546280		Sharma2003a		29778
33404	TibetoKinauriRongpo	big	big	tuŋtə	t u ŋ t ə				465	547507		Sharma2003a		465
33635	KirantiKulung	big, fat (adj.)	big	depa	d e p a	Nepali: ṭhūlo, moṭo. (Tolsma1999)			29701			Tolsma1999		29701
33867	KirantiBantawa	big	big	ɨdʰiwaŋ	ɨ dʱ i w a ŋ				747			Jongens2009:		747
34193	BurmishAchang	big	big	kʐə³¹	k ʐ ə ³¹				909			Huang1992		909
34195	BurmishAtsi	big	big	ko̱²¹	k o̰ ²¹				909			Huang1992		909
34196	BurmishBola	big	big	kɔ̱³⁵	k ɔ̰ ³⁵				909			Huang1992		909
34197	BurmishLashi	big	big	kjiː³³	k j iː ³³				909			Huang1992		909
34198	BurmishMaru	big	big	ɣə³⁵	ɣ ə ³⁵				909			Huang1992		909
34199	BurmishXiandao	big	big	kɯ³¹	k ɯ ³¹				909			Huang1992		909
35587	BurmishRangoon		big	ʨi⁵⁵	tɕ i ⁵⁵				909			Huang1992		909
35715	KirantiBahing	big (adj)	big	a-ŋolo	a + ŋ o l o				861	122043				861
35904	MizoLushai	big	big	lian	l i a n				1465	237598				1465
35905	MizoLushai	big	big	hrawl	r̥ ɔ l				1244	237599				1244
36208	SiniticBeijing	big	big	ta⁵¹	t a ⁵¹			大	1627		大	BeijingDaxue1964		1627
36209	SiniticGuangzhou	big	big	tai²²	t a i ²²	expect l-	< post-Han	大	1627		大	BeijingDaxue1964		29779
36210	SiniticChaozhou		big	tua¹¹	t u a ¹¹	expect l-	< post-Han		1627		大			29780
36211	SiniticLonggang		big	tʰai⁵⁴	tʰ a i ⁵⁴	expect l-	< post-Han		1627		大			29781
36212	SiniticJieyang		big	tua¹¹	t u a ¹¹	expect l-	< post-Han		1627		大			29782
36213	SiniticXingning		big	tʰai⁵⁵ku²¹	tʰ a i ⁵⁵ k u ²¹	expect l-	< post-Han		1627		大牯			29783
37555	NagaUkhrul	big	big	kə-haka	k ə + h a k a				3314	526112				3314
37764	KirantiHayu	be big, become big; win (vi, vr)	big	xʊn	x ʊ n				2158	121645				2158
37765	KirantiHayu	big, huge (adj)	big	ʊlawo	ʊ l a w o				2159	120161				2159
38013	Tangut		big	khwej	kʰ w e j				10181		大			10181
