# Wordlist

# DATA
ID	DOCULECT	GLOSS_IN_SOURCE	CONCEPT	IPA	TOKENS	BORROWING	NOTE	CHINESE	COGID	HANZI	RGEN	SOURCE	ENTRY_IN_SOURCE
#
5054	Old_Tibetan	I	I [first person singular]	ŋa	ŋ a			我	327				
5067	Khaling	I	I [first person singular]	ʔûŋ	ʔ u ŋ			我	29761				
5068	Limbu	I	I [first person singular]	iŋga	i ŋ g a			我	29722				
5083	Japhug	I	I [first person singular]	aʑo	a ʑ o			我	327				
5087	Tangut	I	I [first person singular]	ŋa²	ŋ a ²			我	327				
16954	Jingpho	I	I [first person singular]	ŋai³³	ŋ a i ³³				327				
17100	Yidu	I	I [first person singular]	ŋɑ³⁵	ŋ ɑ ³⁵				327				
17115	Motuo_Menba	I	I [first person singular]	dʑaŋ	dʑ a ŋ				10390				
17972	rGyalrong_Maerkang	I	I [first person singular]	ŋɑ	ŋ ɑ				327				
19223	Daofu	I	I [first person singular]	ŋa	ŋ a				327				
19683	Dulong	I	I [first person singular]	ŋɑ⁵³	ŋ ɑ ⁵³				327				
19921	Tibetan_Batang	I	I [first person singular]	ŋa²³¹	ŋ a ²³¹				327				
21719	Zhaba_Daofu_County	I	I [first person singular]	ŋa¹³	ŋ a ¹³				327				
22525	Tibetan_Xiahe	I	I [first person singular]	ŋa	ŋ a				327				
23725	Bokar	I	I [first person singular]	ŋoː	ŋ oː				327				
23977	Darang_Taraon	I	I [first person singular]	xɑŋ³⁵	x ɑ ŋ ³⁵				10387				
24331	Lisu	I	I [first person singular]	ŋuɑ³³	ŋ u ɑ ³³				327				
24581	Tibetan_Lhasa	I	I [first person singular]	ŋa¹³	ŋ a ¹³				327				
24693	Tibetan_Alike	I	I [first person singular]	ŋæ	ŋ æ				327				
30885	Old_Chinese		I [first person singular]	ŋˤa	ŋˤ a			我	327				
31082	Old_Burmese		I [first person singular]	ṅā	ṅ/ŋ ā				327				
31651	Wobzi_Khroskyabs		I [first person singular]	ŋô	ŋ ô/o				327				
31913	Chepang	I	I [first person singular]	ʔa	ʔ a				3835				
31914	Chepang	I	I [first person singular]	ŋa	ŋ a				327				
32168	Garo	I (pro)	I [first person singular]	aŋ-a	a ŋ a				10388				
32394	Thulung		I [first person singular]	go	g o				799				
32746	Hakha_Chin	I (pron.)	I [first person singular]	keimah	k à/a y/i + m a ʔ				29721				
32978	Bunan	I	I [first person singular]	gi	g i				799				
33178	Byangsi	1sg, I, me	I [first person singular]	je	j/dʒ e				799				
33630	Kulung	I (pron.)	I [first person singular]	kɔN	k ɔ ŋ		Nepali: ma. (Tolsma1999)		29760				
33951	Bantawa		I [first person singular]	ɨŋka	ɨ ŋ k a				29722				
34933	Rangoon	I	I [first person singular]	ŋɑ²²	ŋ ɑ ²²				327				
34997	Atsi	I	I [first person singular]	ŋo⁵¹	ŋ o ⁵¹				327				
35074	Maru	I	I [first person singular]	ŋɔ³¹	ŋ ɔ ³¹				327				
35140	Lashi	I	I [first person singular]	ŋo³¹	ŋ o ³¹				327				
35186	Xiandao	I	I [first person singular]	ŋɔ⁵⁵	ŋ ɔ ⁵⁵				327				
35239	Bola	I	I [first person singular]	ŋa⁵⁵	ŋ a ⁵⁵				327				
35419	Achang_Longchuan	I	I [first person singular]	ŋɔ⁵⁵	ŋ ɔ ⁵⁵				327				
35711	Bahing	I (pron)	I [first person singular]	gu	g u				799				
35900	Lushai	I	I [first person singular]	ka	k a		Lushai also has kei 'I', kei-ma 'I'		29721				
36176	Beijing	I (first person singular)	I [first person singular]	wɔ²¹⁴	w ɔ ²¹⁴			我	327				
36177	Guangzhou	I (first person singular)	I [first person singular]	ŋɔ²³	ŋ ɔ ²³	< MC	should have *-i.LS	我	327				
36178	Chaozhou		I [first person singular]	ua⁵³	u a ⁵³				327				
36179	Longgang		I [first person singular]	ŋai²¹	ŋ a i ²¹				327				
36180	Jieyang		I [first person singular]	ua³¹	u a ³¹				327				
36181	Xingning		I [first person singular]	ŋai²⁴	ŋ a i ²⁴				327				
37553	Ukhrul	1sg, I, me	I [first person singular]	ʔi	ʔ i				2029				
37758	Hayu	my, me (pron po)	I [first person singular]	aŋ	a ŋ				10388				
37759	Hayu	I, me, we, us (pron (1)	I [first person singular]	gu	g u				799				
38041	Tangut		I [first person singular]	mjo	m j o				105				
38357	Mikir		I [first person singular]	ne	n e		from :cite:Walker1925<br>page in :cite:Walker1925 307		10389				
38596	Rabha	I	I [first person singular]	aŋ	a ŋ				10388				
#
19	Old_Tibetan		above	steŋ	s t e ŋ				20				
48	Japhug		above	ɯ-taʁ	ɯ + t a ʁ				49				
16971	Motuo_Menba	over / above	above	ga ten	g a _ t e n				431				
18154	Tibetan_Lhasa	over / above	above	jɛ̃¹³tɕhɛ⁵²	j ɛ̃ ∼ ¹³ + tɕʰ ɛ ⁵²				198				
18155	Tibetan_Lhasa	over / above	above	khoŋ¹³la	kʰ o ŋ ¹³ + l a				1035				
19109	Daofu	over / above	above	rə nkhvɛ	r ə + n kʰ v ɛ				1310				
19539	Dulong	over / above	above	lɯ³¹kɑ⁵⁵pɑŋ⁵⁵	l ɯ ³¹ + k ɑ ⁵⁵ + p ɑ ŋ ⁵⁵				1265				
19810	Tibetan_Batang	over / above	above	ja¹³tɕøʔ⁵³	j a ¹³ + tɕ ø ʔ ⁵³				198				
20363	Jingpho	over / above	above	n³¹tsa̱³³	n ³¹ + ts a̠ ³³				1765				
21603	Zhaba_Daofu_County	over / above	above	ʌ¹³tʂhɿ³³	ʌ ¹³ + ʈʂʰ ɿ ³³				2262				
